px,py
5743.91,3444.14
5743.22,3445.28
5742.45,3446.42
5741.6,3447.56
5740.67,3448.68
5739.67,3449.81
5738.59,3450.94
5737.44,3452.06
5736.22,3453.19
5734.93,3454.32
5733.57,3455.46
5732.13,3456.6
5730.63,3457.75
5729.39,3459.32
5728.08,3460.9
5726.71,3462.5
5725.27,3464.11
5723.77,3465.74
5722.22,3467.39
5720.6,3469.05
5718.92,3470.74
5717.6,3472.5
5716.23,3474.28
5714.81,3476.1
5713.34,3477.94
5712.02,3479.35
5710.66,3480.79
5709.24,3482.27
5707.77,3483.77
5706.26,3485.32
5704.7,3486.9
5703.09,3488.53
5701.44,3490.19
5699.75,3491.91
5696.05,3493.37
5692.1,3495.27
5688.12,3497.23
5684.11,3499.25
5680.07,3501.35
5675.55,3503.01
5671.01,3504.75
5666.44,3506.56
5661.86,3508.45
5657.26,3510.42
5651.54,3512.37
5645.81,3514.4
5640.08,3516.51
5634.34,3518.7
5628.61,3520.98
5622.89,3523.36
5617.18,3525.83
5611.49,3528.39
5605.84,3531.05
5600.22,3533.82
5594.58,3536.23
5588.95,3538.28
5583.36,3540.44
5578.21,3542.79
5572.82,3544.69
5567.47,3546.7
5562.17,3548.85
5556.93,3551.11
5551.75,3553.5
5547.34,3554.09
5542.99,3554.73
5538.69,3555.44
5534.45,3556.21
5531.07,3561.11
5527.82,3566.15
5524.7,3571.29
5521.74,3576.56
5518.93,3581.93
5516.3,3587.4
5513.85,3592.97
5511.6,3598.63
5509.56,3604.37
5507.74,3610.18
5506.41,3615.08
5505.31,3620.03
5504.44,3625.02
5503.81,3630.04
5503.43,3635.06
5503.31,3640.08
5503.13,3645.13
5503.22,3650.15
5503.54,3655.16
5504.12,3660.09
5504.93,3664.95
5505.99,3669.7
5507.29,3674.34
5508.78,3678.72
5510.47,3682.97
5512.97,3686.95
5515.64,3690.79
5518.48,3694.48
5521.46,3698.01
5524.58,3701.38
5527.81,3704.59
5531.14,3707.64
5534.57,3710.53
5538.08,3713.26
5541.64,3715.84
5544.45,3718.14
5547.31,3720.28
5550.2,3722.29
5552.97,3724.08
5555.76,3725.75
5558.55,3727.3
5561.34,3728.73
5563.94,3730.24
5566.82,3731.39
5569.68,3732.46
5572.53,3733.43
5575.36,3734.31
5578.96,3735.29
5582.38,3736.2
5585.34,3736.32
5588.25,3736.38
5591.11,3736.36
5594.22,3737.32
5597.92,3738.21
5601.54,3738.94
5605.11,3739.64
5608.61,3740.31
5612.07,3740.95
5615.46,3741.56
5619.61,3742.6
5623.71,3743.64
5627.76,3744.66
5631.75,3745.68
5635.7,3746.69
5639.59,3747.7
5643.33,3748.56
5647.02,3749.43
5650.66,3750.3
5653.81,3751.92
5656.91,3753.55
5659.98,3755.19
5663.01,3756.85
5665.19,3758.12
5667.35,3759.41
5669.46,3760.71
5671.55,3762.03
5673.61,3763.38
5675.64,3764.74
5677.76,3766.61
5679.85,3768.5
5681.96,3770.36
5684.04,3772.24
5686.1,3774.13
5688.14,3776.03
5690.16,3777.95
5692.16,3779.88
5694.15,3781.82
5696.13,3783.78
5698.1,3785.75
5700.05,3787.78
5701.99,3789.83
5703.82,3791.7
5705.65,3793.58
5707.48,3795.48
5709.3,3797.38
5711.12,3799.3
5714.98,3799.82
5718.88,3800.34
5722.82,3800.84
5726.8,3801.33
5731.44,3802.75
5736.13,3804.17
5740.87,3805.58
5745.66,3806.99
5750.51,3808.38
5755.41,3809.76
5760.37,3811.14
5765.4,3812.5
5770.48,3813.84
5775.63,3815.18
5780.85,3816.49
5786.13,3817.8
5791.48,3819.08
5796.9,3820.34
5802.39,3821.59
5807.95,3822.81
5813.59,3824.01
5819.31,3825.19
5825.1,3826.34
5830.97,3827.46
5836.93,3828.56
5842.96,3829.63
5849.08,3830.66
5855.5,3831.49
5862.01,3832.28
5868.55,3832.99
5875.05,3835.13
5881.63,3837.24
5888.3,3839.31
5895.06,3841.34
5901.91,3843.33
5908.85,3845.27
5915.32,3846.56
5921.88,3847.81
5928.54,3849
5935.42,3850.15
5942.4,3851.23
5949.48,3852.26
5956.65,3853.23
5963.93,3854.13
5971.3,3854.97
5978.76,3855.73
5985.98,3856.03
5993.36,3856.22
6000.82,3856.33
6008.38,3856.35
6016.01,3856.26
6023.71,3856.06
6031.48,3855.74
6039.3,3855.27
6047.33,3854.9
6055.34,3854.32
6063.3,3853.51
6071.09,3852.39
6078.57,3850.86
6084.71,3848.32
6089.07,3844.4
6090.92,3840.76
6090.73,3838.74
6089.72,3838.3
6088.64,3838.75
6087.65,3839.71
6086.47,3840.85
6085.12,3842.04
6082.99,3842.19
6080.87,3842.33
6078.88,3842.5
6077.02,3842.67
6074.86,3842.43
6072.82,3842.15
6070.89,3841.82
6068.64,3841.04
6066.49,3840.19
6064.45,3839.27
6062.51,3838.29
6060.67,3837.22
6058.94,3836.07
6057.3,3834.84
6055.77,3833.52
6054.33,3832.1
6052.99,3830.6
6051.74,3828.99
6050.58,3827.29
6048.87,3824.78
6047.24,3822.2
6045.7,3819.53
6044.25,3816.79
6042.89,3813.96
6041.61,3811.05
6040.42,3808.05
6038.99,3804.64
6037.64,3801.15
6036.37,3797.56
6035.18,3793.88
6034.07,3790.11
6033.02,3786.25
6032.06,3782.29
6031.16,3778.24
6030.34,3774.09
6029.58,3769.85
6028.89,3765.5
6028.27,3761.06
6028.15,3756.49
6028.1,3751.81
6028.1,3747.04
6027.85,3743.14
6027.66,3739.15
6027.51,3735.08
6027.41,3730.92
6026.54,3726.95
6025.88,3723.2
6025.26,3719.36
6024.68,3715.43
6024.13,3711.41
6023.63,3707.3
6023.16,3703.1
6022.72,3698.8
6022.32,3694.41
6021.95,3689.93
6021.6,3685.35
6021.29,3680.68
6021,3675.92
6020.74,3671.06
6020.5,3666.11
6020.28,3661.07
6021.43,3656.89
6022.6,3652.6
6023.79,3648.21
6024.98,3643.72
6026.19,3639.13
6027.42,3634.43
6028.65,3629.62
6029.88,3624.71
6031.12,3619.7
6032.37,3614.59
6033.62,3609.37
6034.86,3604.05
6036.1,3598.63
6037.34,3593.11
6038.67,3587.28
6039.99,3581.35
6041.3,3575.32
6042.59,3569.18
6043.88,3562.94
6045.14,3556.61
6046.4,3550.17
6047.63,3543.64
6048.74,3537.22
6049.84,3530.72
6050.83,3524.13
6051.81,3517.45
6052.75,3510.68
6053.67,3503.81
6054.55,3496.86
6055.4,3489.81
6056.22,3482.68
6057.1,3474.97
6057.82,3467.39
6058.5,3459.71
6059.14,3451.96
6059.74,3444.13
6060.3,3436.21
6060.81,3428.22
6061.28,3420.15
6061.7,3412.01
6062.07,3403.8
6062.39,3395.51
6062.66,3387.15
6062.89,3378.72
6063.41,3370.19
6064.27,3361.42
6065.06,3352.58
6065.79,3343.69
6066.45,3334.74
6067.29,3325.38
6068.07,3315.97
6068.77,3306.51
6069.32,3294.99
6069.79,3283.41
6070.17,3271.76
6070.46,3260.06
6070.67,3248.31
6070.87,3236.92
6070.97,3225.47
6071.01,3213.97
6070.96,3202.42
6071.53,3190.73
6072,3178.98
6072.37,3167.19
6072.63,3155.34
6072.8,3143.44
6072.87,3131.5
6072.83,3119.51
6072.7,3107.48
6072.47,3095.42
6072.14,3083.31
6071.71,3071.17
6071.19,3058.99
6070.57,3046.78
6069.85,3034.55
6069.04,3022.28
6067.38,3009.14
6065.76,2996.53
6064.05,2983.89
6062.26,2971.23
6060.38,2958.55
6058.42,2945.85
6056.38,2933.13
6054.26,2920.4
6054,2907.34
6054.02,2893.27
6053.94,2879.21
6053.75,2865.16
6053.46,2851.12
6053.06,2837.09
6052.57,2823.08
6052.53,2810.05
6052.4,2797.03
6052.18,2784.04
6051.86,2771.06
6051.46,2758.1
6050.98,2745.16
6050.41,2732.25
6049.76,2719.35
6049.03,2706.47
6047.94,2694.03
6047.12,2681.14
6046.23,2668.28
6045.29,2655.44
6044.29,2642.62
6043.24,2629.83
6042.68,2617.72
6042.08,2605.63
6041.43,2593.57
6040.73,2581.53
6039.98,2569.52
6039.26,2557.74
6038.49,2545.98
6037.68,2534.26
6036.83,2522.56
6035.94,2510.89
6035.02,2499.25
6034.06,2487.63
6033.06,2476.05
6032.04,2464.49
6030.98,2452.95
6029.88,2441.45
6028.76,2429.97
6027.61,2418.51
6026.43,2407.08
6025.29,2395.53
6024.12,2384
6022.93,2372.49
6021.71,2361
6020.47,2349.53
6019.21,2338.09
6017.61,2328.02
6015.99,2317.98
6015.62,2306.41
6015.23,2294.87
6014.83,2283.34
6014.42,2271.84
6014,2260.35
6013.56,2248.88
6013.11,2237.43
6012.65,2226
6012.38,2214.29
6012.11,2202.59
6011.83,2190.9
6011.55,2179.22
6011.27,2167.56
6010.98,2155.9
6010.69,2144.26
6010.5,2131.87
6010.3,2119.49
6010.09,2107.11
6009.87,2094.73
6009.65,2082.36
6009.42,2069.99
6009.19,2057.62
6008.94,2045.26
6008.7,2032.9
6008.44,2020.54
6008.19,2008.18
6007.92,1995.83
6007.65,1983.49
6007.37,1971.14
6007.08,1958.81
6006.55,1946.94
6006.02,1935.08
6005.48,1923.23
6004.94,1911.38
6004.39,1899.54
6004.42,1888.07
6004.44,1876.6
6004.46,1865.13
6004.48,1853.67
6004.49,1842.22
6004.5,1830.77
6004.26,1819.53
6004.01,1808.28
6003.74,1797.02
6003.45,1785.76
6003.14,1774.49
6002.82,1763.22
6002.47,1751.95
6002.11,1740.68
6001.73,1729.41
6001.34,1718.14
6000.92,1706.87
6000.49,1695.61
6000.04,1684.35
5999.57,1673.09
5999.09,1661.85
5998.59,1650.61
5998.07,1639.38
5997.54,1628.16
5996.99,1616.95
5996.43,1605.76
5995.86,1594.58
5995.27,1583.42
5994.67,1572.27
5994.05,1561.15
5993.08,1550.19
5992.1,1539.26
5991.11,1528.36
5990.11,1517.48
5989.11,1506.64
5988.09,1495.82
5987.07,1485.04
5986.05,1474.29
